actor,task,claim,auto,teleop,finish,successname,missname,enums,end,match scores json
alliance,teleopTakeoffPoints,na,na,na,count,teleop takeoff points,,,,
alliance,kPaBonusPoints,na,na,na,count,kpa bonus points,,,,
alliance,rotorBonusPoints,na,na,na,count,rotor bonus points,,,,
alliance,adjustPoints,na,na,na,count,adjust points,,,,
alliance,foulPoints,na,na,na,count,foul pointd,,,,
alliance,matchRankingPoint,na,na,na,count,Match RP,,,,
alliance,rotorCount,na,count,count,count,Rotors turning,,,,
alliance,boilerKpa,na,count,count,count,,,,,
alliance,rotorRankingPoint,na,na,na,count,,,,,
alliance,rotor1Auto,na,na,na,boolean,,,,,
alliance,rotor2Auto,na,na,na,boolean,,,,,
alliance,rotor1Engaged,na,na,na,boolean,,,,,
alliance,rotor2Engaged,na,na,na,boolean,,,,,
alliance,kPaRankingPointAchieved,na,na,na,boolean,,,,,
alliance,rotorRankingPointAchieved,na,na,na,boolean,,,,,
alliance,rotor3Engaged,na,na,na,boolean,,,,,
alliance,rotor4Engaged,na,na,na,boolean,,,,,
alliance,touchpadNear,na,na,na,boolean,,,,,
alliance,touchpadMiddle,na,na,na,boolean,,,,,
alliance,boilerRankingPoint,na,na,na,count,,,,,
alliance,touchPadScore,na,na,na,count,Climbing score,,,,
pilot,deployRope,na,na,enum,na,,,Released|Late|Never,,
pilot,liftGear,na,count,count,na,,,,,
pilot,installGear,na,count,count,na,,,,,
pilot,misplaceGear,na,boolean,boolean,na,,,,,
pilot,ignoreGear,na,boolean,boolean,na,,,,,
pilot,dropGear,na,boolean,boolean,na,,,,,
pilot,turnRotor,na,count,count,na,,,,,
pilot,pilotNormalFoul,na,count,count,na,Foul,,,,
pilot,pilotTechFoul,na,count,count,na,Tech Foul,,,,
pilot,pilotYellowCard,na,count,count,na,Red Card,,,,
pilot,pilotRedCard,na,count,count,na,Yellow Card,,,,
human player,releaseOverflow,na,na,count,na,,,,,
human player,loadGear,na,count,count,na,,,,,
human player,loadFuel,na,count,count,na,,,,,
human player,humanNormalFoul,na,count,count,na,,,,,
human player,humanTechFoul,na,count,count,na,,,,,
human player,humanYellowCard,na,count,count,na,,,,,
human player,humanRedCard,na,count,count,na,,,,,
